sequence,screen_id,section_no,section,title,caption,part,spec_file,image_file,image_relative_path,width,height,aspect_ratio,sha256,group_key,state_relation,previous_screen_id,next_screen_id
1,SCR-001,1,메뉴구조도,메뉴구조도,,2,01_정보구조와_권한_대시보드_SCR001-009.md,001_메뉴구조도.png,images/001_메뉴구조도.png,1212,639,1.8967,dcb559cecfa9e88ee97de795995743b08e01e02a21a4f8af42fb8ae1300158b8,메뉴구조도,same_screen_continuation_or_state,,SCR-002
2,SCR-002,1,메뉴구조도,메뉴구조도,,1,01_정보구조와_권한_대시보드_SCR001-009.md,002_메뉴구조도.png,images/002_메뉴구조도.png,1213,619,1.9596,a53d81bcd12bbfb1852ac161291dff2a65b35fd9dc204c1fa0d2dae7f2e0b2bd,메뉴구조도,same_feature_variant_or_state,SCR-001,SCR-003
3,SCR-003,2,사용자 권한 구분,사용자 권한 구분,,2,01_정보구조와_권한_대시보드_SCR001-009.md,003_사용자 권한 구분.png,images/003_사용자 권한 구분.png,1079,661,1.6324,bf0a6f9ae8e269668fff84c7a5b80d713844843dc24730edf5f4fa8f15b6d90a,사용자 권한 구분,same_screen_continuation_or_state,SCR-002,SCR-004
4,SCR-004,2,사용자 권한 구분,사용자 권한 구분,,1,01_정보구조와_권한_대시보드_SCR001-009.md,004_사용자 권한 구분.png,images/004_사용자 권한 구분.png,1403,544,2.579,5a99120124d3e63edff9650d1bc96823ecfee16a173fd41e1611c2120c6e471d,사용자 권한 구분,same_feature_variant_or_state,SCR-003,SCR-005
5,SCR-005,3,로그인 및 메인(대시보드),로그인,로그인,1,01_정보구조와_권한_대시보드_SCR001-009.md,005_로그인.png,images/005_로그인.png,2001,1127,1.7755,5633fdbde7bf2e2826e9f3c611540927838f4e98b2a3c636c6a567725af66798,로그인,standalone_screen_cut,SCR-004,SCR-006
6,SCR-006,3,로그인 및 메인(대시보드),"메인(대시보드) - (경영책임자, 총괄) 로그인 시","메인(대시보드) - [경영책임자, 총괄] 로그인 시",1,01_정보구조와_권한_대시보드_SCR001-009.md,"006_메인(대시보드) - (경영책임자, 총괄) 로그인 시.png","images/006_메인(대시보드) - (경영책임자, 총괄) 로그인 시.png",2001,1127,1.7755,676092f5666d3560c72b5c429109ec1bba2925e9271c31eacc48d93f4a9e63ae,"메인(대시보드) - (경영책임자, 총괄) 로그인 시",standalone_screen_cut,SCR-005,SCR-007
7,SCR-007,3,로그인 및 메인(대시보드),메인(대시보드) - (중대재해 담당부서) 로그인 시,메인(대시보드) - [중대재해 담당부서] 로그인 시,1,01_정보구조와_권한_대시보드_SCR001-009.md,007_메인(대시보드) - (중대재해 담당부서) 로그인 시.png,images/007_메인(대시보드) - (중대재해 담당부서) 로그인 시.png,2001,1127,1.7755,e94a995eec3b1fece0ce801cbd354134174d56a5e58ca388b45c64d6c48aea33,메인(대시보드) - (중대재해 담당부서) 로그인 시,standalone_screen_cut,SCR-006,SCR-008
8,SCR-008,3,로그인 및 메인(대시보드),"메인(대시보드) - (사업소, 실/국) 로그인 시","메인(대시보드) - [사업소, 실/국] 로그인 시",1,01_정보구조와_권한_대시보드_SCR001-009.md,"008_메인(대시보드) - (사업소, 실·국) 로그인 시.png","images/008_메인(대시보드) - (사업소, 실·국) 로그인 시.png",2001,1127,1.7755,e561c9214756a08f75f068fd1f91a9e8ec77013a58d65a0233b3cc25ab297012,"메인(대시보드) - (사업소, 실/국) 로그인 시",standalone_screen_cut,SCR-007,SCR-009
9,SCR-009,3,로그인 및 메인(대시보드),"메인(대시보드) - (사업장, 부서) 로그인 시","메인(대시보드) - [사업장, 부서] 로그인 시",1,01_정보구조와_권한_대시보드_SCR001-009.md,"009_메인(대시보드) - (사업장, 부서) 로그인 시.png","images/009_메인(대시보드) - (사업장, 부서) 로그인 시.png",2001,1127,1.7755,f9b2b0d8e574bb8400b5712fb0abd41824dc7b33ac260c57e95da92a1254a62d,"메인(대시보드) - (사업장, 부서) 로그인 시",standalone_screen_cut,SCR-008,SCR-010
10,SCR-010,4,이행현황,"이행현황 – (총괄, 담당부서) 중대산업재해 : 대상 및 취합정보 항목 선택","이행현황 – [총괄, 담당부서] 중대산업재해 : 대상 및 취합정보 항목 선택",1,02_이행현황_SCR010-020.md,"010_이행현황 – (총괄, 담당부서) 중대산업재해 - 대상 및 취합정보 항목 선택.png","images/010_이행현황 – (총괄, 담당부서) 중대산업재해 - 대상 및 취합정보 항목 선택.png",2001,1127,1.7755,d1543ec8a89c1aadddd05f001293a7f9eb275f56df9ffeefd8c875d7d2fa201c,"이행현황 – (총괄, 담당부서) 중대산업재해 : 대상 및 취합정보 항목 선택",standalone_screen_cut,SCR-009,SCR-011
11,SCR-011,4,이행현황,"이행현황 – (총괄, 담당부서) 중대산업재해 : 선택항목에 대한 해당년도 이행 현황표","이행현황 – [총괄, 담당부서] 중대산업재해 : 선택항목에 대한 해당년도 이행 현황표",1,02_이행현황_SCR010-020.md,"011_이행현황 – (총괄, 담당부서) 중대산업재해 - 선택항목에 대한 해당년도 이행 현황표.png","images/011_이행현황 – (총괄, 담당부서) 중대산업재해 - 선택항목에 대한 해당년도 이행 현황표.png",2001,1127,1.7755,50eb3576505a612b6b73c03f13bd671caf42d3392fc67ce667015bd7f3d5d733,"이행현황 – (총괄, 담당부서) 중대산업재해 : 선택항목에 대한 해당년도 이행 현황표",standalone_screen_cut,SCR-010,SCR-012
12,SCR-012,4,이행현황,"이행현황 – (총괄, 담당부서) 중대산업재해 : 선택항목에 대한 대상별 이행 현황표","이행현황 – [총괄, 담당부서] 중대산업재해 : 선택항목에 대한 대상별 이행 현황표",1,02_이행현황_SCR010-020.md,"012_이행현황 – (총괄, 담당부서) 중대산업재해 - 선택항목에 대한 대상별 이행 현황표.png","images/012_이행현황 – (총괄, 담당부서) 중대산업재해 - 선택항목에 대한 대상별 이행 현황표.png",2001,1127,1.7755,4d3621a80d0656d4177aa89b98570e98289cb883272da89388393bfb4f25b5d8,"이행현황 – (총괄, 담당부서) 중대산업재해 : 선택항목에 대한 대상별 이행 현황표",standalone_screen_cut,SCR-011,SCR-013
13,SCR-013,4,이행현황,"이행현황 – (총괄, 담당부서) 중대산업재해 : 이행현황 확인에 따른 조치 지시","이행현황 – [총괄, 담당부서] 중대산업재해 : 이행현황 확인에 따른 조치 지시",1,02_이행현황_SCR010-020.md,"013_이행현황 – (총괄, 담당부서) 중대산업재해 - 이행현황 확인에 따른 조치 지시.png","images/013_이행현황 – (총괄, 담당부서) 중대산업재해 - 이행현황 확인에 따른 조치 지시.png",2001,1127,1.7755,7025bf09325b5c66145e9dae476e619b971307a6cba189fad3f42a53f077a1c5,"이행현황 – (총괄, 담당부서) 중대산업재해 : 이행현황 확인에 따른 조치 지시",standalone_screen_cut,SCR-012,SCR-014
